"Y","E1","E2","E3","E4","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","G11","G12","G13","G14","G15","G16","G17","G18","G19","G20"
12.3497246715935,9.00322141475044,7.90071834460832,8.89231747714803,8.89292029081844,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1
16.4071477757726,8.5840860940516,6.66842830600217,5.62359820003621,8.33110151346773,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1
18.3908465253596,6.67298935470171,5.70348311332054,5.27810436324216,9.68443445744924,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
16.8967405056459,6.16585406241938,7.31131220469251,5.42542836396024,7.40329954773188,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
18.4139059869036,7.13957390165888,7.97512419056147,9.59457761491649,9.77935928967781,0,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1
14.6334381826113,8.45186515245587,8.06572928326204,9.83278321567923,5.47146615455858,0,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,0
17.9644637396539,7.45802120654844,6.14776976872236,8.73529474949464,8.22545639355667,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
19.1812686658966,7.82802535453811,9.11397659103386,7.63447385979816,9.28488566773012,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
16.2220278027772,9.6284880163148,7.11703199660406,6.41722234315239,8.06471619056538,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1
17.1137826805455,8.5809816152323,5.38230633712374,7.89192106458358,6.62262467201799,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0
15.6879050735026,9.82054142164998,9.46693884208798,7.49066943884827,5.47585513442755,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0
17.8990498975451,8.68071089615114,8.95001120865345,7.06281492486596,6.89477951847948,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
